Repository,Branch
SME-HIVE-Fronted,chore/add-deactivated-tab-sp-approval
SME-HIVE-Fronted,chore/approval-Registration-date
SME-HIVE-Fronted,chore/change-text-from-pixel-to-rem
SME-HIVE-Fronted,chore/clean-up
SME-HIVE-Fronted,chore/cms-herobanner-with-getResponse
SME-HIVE-Fronted,chore/cms-quality-control
SME-HIVE-Fronted,chore/feedback-fixes
SME-HIVE-Fronted,chore/small-adjustment-and-cleanup
SME-HIVE-Fronted,chore/version-compattibility-change-and-font-linking
SME-HIVE-Fronted,chore-clean-ups
SME-HIVE-Fronted,chore-enpoint-troubleshoot-azure
SME-HIVE-Fronted,cms/access-area-1
SME-HIVE-Fronted,cms/contact-us
SME-HIVE-Fronted,cms/gallery
SME-HIVE-Fronted,community
SME-HIVE-Fronted,completion
SME-HIVE-Fronted,conflict-res
SME-HIVE-Fronted,dast
SME-HIVE-Fronted,deps/dependecy-upgrade-with-cleanup
SME-HIVE-Fronted,dev_admin_frontend
SME-HIVE-Fronted,dev_web
SODR_ANSIBLE,DBMS_PROD
SODR_ANSIBLE,Demo-Branch
SODR_ANSIBLE,VMWARE
SODR_ANSIBLE,clm_production
SODR_ANSIBLE,converge
SODR_ANSIBLE,dbms
SODR_ANSIBLE,dbms-uche
SODR_ANSIBLE,demo-branch
SODR_ANSIBLE,demo-usecase-dev
SODR_ANSIBLE,lnx-usecase-dev
SODR_ANSIBLE,main
SODR_ANSIBLE,my_new_branch
SODR_ANSIBLE,mynew-branch
SODR_ANSIBLE,owc-dev
SODR_ANSIBLE,owc-prod
Prestige_Backend,main
VOC_Frontend,Joeasuquo-patch-1
VOC_Frontend,az-prod
VOC_Frontend,dependabot/npm_and_yarn/axios-1.6.0
VOC_Frontend,dependabot/npm_and_yarn/next-13.5.0
VOC_Frontend,dependabot/npm_and_yarn/postcss-8.4.31
VOC_Frontend,dev
VOC_Frontend,devsec-az-prod
VOC_Frontend,emrick-dev
VOC_Frontend,feat/mobile-responsiveness
VOC_Frontend,feat/table-pagination
VOC_Frontend,feat/user-responses
VOC_Frontend,gkhhgcl-patch-1
VOC_Frontend,gkhhgcl-patch-2
VOC_Frontend,gkhhgcl-patch-3
VOC_Frontend,main
VOC_Frontend,manual-approval
VOC_Frontend,merge-main-to-dev
VOC_Frontend,readme-update
VOC_Frontend,respondent-fix
VOC_Frontend,stage
VOC_Frontend,stage-test
VOC_Frontend,staging
VOC_Frontend,temi-dev
VOC_Backend,HenryOE-patch-1
VOC_Backend,az-prod
VOC_Backend,dependabot/nuget/MTNVoiceOfCustomer.Utility/System.IdentityModel.Tokens.Jwt-6.34.0
VOC_Backend,develop
VOC_Backend,gkhhgcl-patch-1
VOC_Backend,gkhhgcl-patch-2
VOC_Backend,henry-dev
VOC_Backend,main
VOC_Backend,maro_dev2
VOC_Backend,maro_dev3
VOC_Backend,prodfix
VOC_Backend,stage
VOC_Backend,stage-test
Helm-Charts,azure-dev
Helm-Charts,azure-prod
Helm-Charts,base-images
Helm-Charts,dev
